Age Group,Gender,Profession,Better Service Provider,Pocket friendly Service,Cashless transactions problem,Daily_spendings,Monthly_spending,Quality decider attribute,Frequency of booking ,Most usage day,Punctual service,Offer provider,Fast connector to driver,Faster issue resolver
15 - 30,Female,Student,Ola,Ola,Never faced this issue,200,2000,Most,2-3 times in a month,Weekends,Ola,Uber,Ola,Uber
15 - 30,Female,Student,Ola,Ola,More often in Uber,100,1500,Pricing,Only on special occasions,Weekends,Ola,Uber,Both equally,Never faced any issue
15 - 30,Male,Student,Both provide equal quality,Uber,Faced this issue equally in both,50,1000,Driver's behaviour,Only on special occasions,Weekends,Both equally,Ola,Both equally,Never faced any issue
15 - 30,Male,Student,Ola,Uber,Never faced this issue,200,1000,Driver's behaviour,Only on special occasions,Weekdays,Both equally,None,Ola,Never faced any issue
15 - 30,Female,Student,Both provide equal quality,Uber,Never faced this issue,100,500,Driver's behaviour,2-3 times in a month,Weekends,Both equally,Ola,Both equally,Never faced any issue
15 - 30,Male,Student,Both provide equal quality,None of the above,Faced this issue equally in both,50,200,Punctuality,2-3 times in a month,Weekends,Ola,Uber,Both equally,Uber
15 - 30,Male,Student,Both provide equal quality,None of the above,Never faced this issue,100,500,Car quality,Only on special occasions,Weekends,Uber,Both equally,Uber,Never faced any issue
30 - 50,Female,Business,None of the above,None of the above,Never faced this issue,50,100,Pricing,Only on special occasions,Weekends,None of the above,None,Both equally,Never faced any issue
15 - 30,Male,Student,Uber,Uber,More often in Ola,300,500,Driver's behaviour,2-3 times in a month,Weekends,Uber,Uber,Uber,Uber
15 - 30,Male,Student,Uber,Uber,More often in Uber,100,250,Driver's behaviour,Only on special occasions,Weekdays,Uber,Uber,Uber,Uber
15 - 30,Female,Student,Uber,Uber,Never faced this issue,50,600,Car quality,Only on special occasions,Weekends,None of the above,Both equally,Uber,None
15 - 30,Female,Student,Ola,Uber,Never faced this issue,100,600,Punctuality,Only on special occasions,Weekends,Both equally,Ola,Both equally,Never faced any issue
15 - 30,Female,Student,Ola,None of the above,Never faced this issue,700,600,Car quality,Only on special occasions,Weekends,Ola,None,Both equally,Never faced any issue
15 - 30,Female,Private sector employee,Both provide equal quality,Ola,Never faced this issue,100,200,Pricing,Only on special occasions,Weekends,Both equally,None,Both equally,Never faced any issue
15 - 30,Male,Student,Ola,Ola,Never faced this issue,300,800,Punctuality,2-3 times in a month,Weekdays,Ola,None,Ola,Never faced any issue
15 - 30,Female,Private sector employee,Ola,Ola,Never faced this issue,100,1000,Pricing,2-3 times in a month,Weekdays,Ola,Ola,Ola,Never faced any issue
15 - 30,Male,Student,Ola,Ola,More often in Ola,100,2000,Punctuality,2-3 times in a month,Weekdays,Ola,Uber,Uber,Uber
15 - 30,Female,Student,Ola,Ola,Never faced this issue,50,5000,Pricing,Only on special occasions,Weekends,Ola,Ola,Ola,None
15 - 30,Female,Student,Uber,Uber,Faced this issue equally in both,50,200,Pricing,Only on special occasions,Weekends,Uber,Uber,Uber,Never faced any issue
15 - 30,Male,Student,Uber,Uber,More often in Uber,200,1239,Driver's behaviour,Only on special occasions,Weekdays,Both equally,Both equally,Ola,Ola
15 - 30,Male,Student,Ola,Uber,Never faced this issue,300,3500,Driver's behaviour,2-3 times in a month,Weekends,Ola,None,Ola,Never faced any issue
15 - 30,Male,Student,Ola,Ola,More often in Ola,100,2000,Pricing,Only on special occasions,Weekends,Ola,Ola,None,Ola
15 - 30,Female,Private sector employee,None of the above,Ola,Never faced this issue,50,1000,Pricing,Only on special occasions,Weekends,Uber,None,Ola,Never faced any issue
15 - 30,Female,Student,Both provide equal quality,Uber,Never faced this issue,50,1400,Pricing,Only on special occasions,Weekends,Both equally,None,Both equally,Never faced any issue
15 - 30,Male,Student,Ola,Ola,Never faced this issue,50,1200,Car quality,Only on special occasions,Weekdays,Ola,None,Ola,Never faced any issue
15 - 30,Female,Student,Ola,None of the above,Never faced this issue,100,550,Pricing,Only on special occasions,Weekends,None of the above,Both equally,None,None
15 - 30,Female,Student,Both provide equal quality,Uber,More often in Ola,300,500,Car quality,Only on special occasions,Weekends,Uber,None,Both equally,None
15 - 30,Male,Student,Both provide equal quality,Uber,More often in Ola,50,300,Punctuality,2-3 times in a month,Weekdays,Ola,Ola,Uber,Uber
15 - 30,Male,Student,Ola,Ola,More often in Uber,50,500,Pricing,2-3 times in a month,Weekends,Uber,Ola,Both equally,Uber
15 - 30,Female,Student,Both provide equal quality,Ola,More often in Uber,500,4000,Pricing,2-3 times in a week,Weekends,Uber,Uber,Both equally,Uber
15 - 30,Female,Student,Both provide equal quality,Ola,Never faced this issue,50,300,Car quality,Only on special occasions,Weekdays,Both equally,Both equally,Both equally,Never faced any issue
30 - 50,Female,Unemployed,Uber,Uber,More often in Ola,100,195,Car quality,2-3 times in a month,Weekdays,Uber,Uber,Uber,Uber
15 - 30,Female,Private sector employee,Ola,Ola,Never faced this issue,100,800,Pricing,2-3 times in a week,Weekdays,Ola,Ola,Ola,Ola
15 - 30,Male,Student,Uber,Uber,More often in Ola,200,200,Punctuality,2-3 times in a month,Weekends,Uber,Uber,Uber,Uber
15 - 30,Male,Student,Both provide equal quality,Ola,Never faced this issue,50,900,Punctuality,2-3 times in a month,Weekdays,Both equally,Both equally,Both equally,Never faced any issue
15 - 30,Female,Student,Ola,None of the above,Never faced this issue,200,2000,Driver's behaviour,Only on special occasions,Weekends,Ola,None,Both equally,Never faced any issue
15 - 30,Male,Student,Both provide equal quality,Ola,Faced this issue equally in both,200,1000,Pricing,2-3 times in a month,Weekends,Ola,Ola,Ola,None
15 - 30,Male,Student,Ola,Ola,Never faced this issue,50,3000,Driver's behaviour,Only on special occasions,Weekdays,Ola,Ola,Ola,Never faced any issue
15 - 30,Male,Student,Ola,Ola,More often in Ola,100,300,Punctuality,2-3 times in a month,Weekends,Ola,Ola,Ola,Ola
15 - 30,Female,Student,Both provide equal quality,Ola,Never faced this issue,200,500,Pricing,Only on special occasions,Weekends,None of the above,Ola,Both equally,Never faced any issue
